"volatile.acidity","chlorides","total.sulfur.dioxide","sulphates","alcohol","quality"
0.51,0.064,54,0.93,10.7,6
0.96,0.082,16,0.44,11.9,6
0.47,0.071,19,0.73,10.6,6
0.24,0.062,22,0.94,10.9,6
0.57,0.104,89,0.9,10.1,5
0.32,0.077,15,0.78,9.6,5
0.58,0.065,18,0.84,9.4,5
0.32,0.077,15,0.78,9.6,5
0.34,0.064,37,0.77,12.1,7
0.53,0.077,19,0.46,9.8,5
0.64,0.077,133,0.45,9.9,5
0.53,0.077,19,0.46,9.8,5
0.4,0.079,58,0.58,9.4,5
0.54,0.079,55,0.84,11.4,6
0.53,0.123,31,0.67,11,4
0.26,0.076,23,0.7,9.6,6
0.26,0.076,23,0.7,9.6,6
0.23,0.046,60,0.71,12.1,6
0.41,0.078,23,0.58,11.2,5
0.64,0.072,55,0.63,11,5
0.18,0.049,67,0.93,11.3,5
0.41,0.066,47,0.62,10.4,5
0.43,0.069,74,0.54,9.9,6
0.44,0.042,11,0.85,11.7,6
0.4,0.069,25,0.74,10.1,7
0.54,0.214,95,0.77,9,6
0.54,0.214,95,0.77,9,6
0.38,0.169,90,0.65,8.5,5
0.915,0.07,39,0.54,11.1,5
0.59,0.052,8,0.47,10.3,5
0.67,0.072,92,0.68,11.0666666666667,6
0.37,0.062,28,0.73,11.3,7
0.785,0.094,98,0.52,9.56666666666667,6
0.63,0.078,30,0.75,9.8,5
0.58,0.058,22,0.49,11.7,5
0.67,0.072,92,0.68,11.1,6
0.785,0.094,98,0.52,9.6,6
0.63,0.078,30,0.75,9.8,5
0.67,0.08,39,0.74,9.7,5
0.58,0.08,54,0.73,9.7,5
0.38,0.056,29,0.76,11.3,8
0.37,0.062,28,0.73,11.3,7
0.32,0.104,17,0.78,11,7
0.58,0.062,53,0.76,11.6,7
0.49,0.074,85,0.58,9,5
0.45,0.073,23,0.69,10.9,6
0.9,0.052,17,0.63,10.9,6
0.54,0.05,89,0.5,10.55,6
0.49,0.074,85,0.58,9,5
0.29,0.067,20,0.6,10.5,5
0.2,0.054,15,0.8,11.9,7
0.42,0.054,64,0.68,10.4,6
0.785,0.06,13,0.61,10,4
0.64,0.075,31,0.58,10.4,6
0.63,0.076,39,0.53,10.8,6
0.59,0.063,53,0.67,9.7,5
0.59,0.063,53,0.67,9.7,5
0.48,0.062,54,0.65,10,7
1.04,0.067,32,0.57,11,4
0.48,0.062,54,0.65,10,7
0.98,0.061,49,0.55,9.7,3
0.69,0.084,24,0.47,9.7,5
0.7,0.067,16,0.52,12.6,5
0.35,0.073,44,0.79,11.1,6
0.6,0.071,45,0.54,11,5
0.5,0.205,82,0.75,8.8,5
0.47,0.048,89,0.88,13.5666666666667,7
0.5,0.205,82,0.75,8.8,5
0.47,0.048,89,0.88,13.6,7
0.875,0.082,14,0.52,10.2,3
0.28,0.104,22,0.68,10.6,5
0.62,0.08,13,0.62,10.1,4
0.28,0.104,22,0.68,10.6,5
0.58,0.114,9,0.57,10.3,4
0.33,0.042,12,0.61,10.7,5
0.91,0.06,11,0.64,10.9,4
0.655,0.074,25,0.55,9.7,5
0.68,0.07,23,0.6,10.3,5
0.64,0.066,17,0.78,10.6,5
0.54,0.049,13,0.58,11.4,5
0.57,0.048,11,0.76,10.8,6
0.22,0.039,18,0.56,12.4,6
0.54,0.049,13,0.58,11.4,5
0.65,0.05,18,0.54,11.95,5
0.54,0.089,147,0.59,9.7,5
0.31,0.066,28,0.7,10,7
0.43,0.08,28,0.81,10.6,6
0.54,0.089,147,0.59,9.7,5
0.74,0.054,16,0.63,11.5,6
0.895,0.068,13,0.58,10.8,6
0.74,0.054,16,0.63,11.5,6
0.725,0.076,15,0.53,9.6,5
0.82,0.083,64,0.53,9.4,5
0.585,0.078,60,0.54,9.8,5
0.44,0.077,14,0.69,11,6
0.38,0.106,12,0.55,11.4,6
0.76,0.078,12,0.63,9.95,3
0.81,0.07,14,0.66,10.8,6
0.38,0.106,12,0.55,11.4,6
0.27,0.074,25,0.72,10.6,6
0.18,0.062,20,0.7,11.1,5
0.36,0.047,48,0.77,9.7,6
0.69,0.068,27,0.67,9.8,5
0.79,0.061,17,0.65,10.4,6
0.56,0.078,65,0.6,10.5,6
0.84,0.074,65,0.72,9.23333333333333,6
0.84,0.074,65,0.72,9.25,6
0.32,0.071,58,0.97,10.6,5
0.53,0.063,44,0.83,10.3,6
0.47,0.114,20,0.63,10.5,5
0.7,0.106,27,0.58,10.2,5
0.53,0.063,44,0.83,10.3,6
0.48,0.082,23,0.43,9.05,4
0.32,0.071,58,0.97,10.6,5
0.48,0.076,61,0.6,10.4,5
0.42,0.075,47,0.78,10,6
0.48,0.064,34,0.64,9.7,5
0.47,0.064,38,0.65,9.6,6
0.53,0.071,24,0.66,10.8,6
0.29,0.096,59,0.67,10.1,6
0.69,0.063,52,0.6,10.2,6
0.44,0.063,18,0.69,11.3,6
0.705,0.081,28,0.66,10.2,5
0.53,0.058,22,0.68,9.9,6
0.39,0.074,84,0.61,9,5
0.56,0.064,29,0.62,11.7,7
0.55,0.075,35,0.59,9.7,6
0.53,0.077,45,0.68,10.3,6
0.58,0.059,31,0.64,10.2,6
0.64,0.081,26,0.63,12,5
0.39,0.065,60,0.78,9.9,5
0.52,0.071,32,0.63,11.6,6
0.25,0.054,49,0.76,10.9,7
0.855,0.064,38,0.56,10.75,6
0.44,0.064,19,0.57,10.4,6
0.37,0.063,19,0.81,11.2,7
0.63,0.059,28,0.64,10.1,6
0.57,0.072,26,0.61,10.2,5
0.6,0.048,26,0.51,12.1,5
0.4,0.099,50,0.58,10.4,5
0.36,0.074,24,0.7,11.4,8
0.68,0.087,26,0.53,9.5,5
0.67,0.083,27,0.54,9.4,5
0.68,0.103,54,0.66,11.3,6
0.735,0.08,28,0.6,9.4,5
0.855,0.062,23,0.6,11,6
0.56,0.065,24,0.68,10.55,7
0.88,0.066,20,0.56,9.9,5
0.855,0.062,23,0.6,11,6
0.63,0.235,115,0.56,9.5,5
0.6,0.08,131,0.52,9.9,5
0.6,0.08,131,0.52,9.9,5
0.6,0.08,131,0.52,9.9,5
0.695,0.076,20,0.54,10.1,5
0.695,0.076,20,0.54,10.1,5
0.695,0.076,20,0.54,10.1,5
0.67,0.061,42,0.82,10.9,6
0.16,0.059,52,0.71,11.2,6
0.695,0.076,20,0.54,10.1,5
0.56,0.077,42,0.59,9.2,5
0.51,0.056,34,0.57,11.5,6
0.36,0.23,35,0.93,12.4,6
0.38,0.038,25,0.65,11.1,6
0.69,0.069,104,0.51,9.5,5
0.58,0.075,50,0.67,12.5,6
0.31,0.074,92,0.48,10.5,6
0.52,0.06,20,0.64,11.8,6
0.3,0.081,29,0.78,10.8,6
0.7,0.076,27,0.6,11.9,6
0.67,0.118,20,0.67,11.3,6
0.56,0.053,32,0.6,11.3,5
0.35,0.068,26,0.6,11.9,6
0.56,0.053,32,0.6,11.3,5
0.715,0.053,27,0.5,11.9,5
0.46,0.074,98,0.62,9.8,5
0.32,0.061,34,0.8,11.6,7
0.39,0.066,48,0.84,11.5,6
0.31,0.065,60,0.85,11.4,6
0.61,0.066,28,0.66,10.9,6
0.66,0.068,102,0.78,12.8,6
0.725,0.073,79,0.54,9.2,5
0.55,0.077,35,0.82,11.6,6
0.74,0.089,26,0.56,11.6,6
0.51,0.076,40,0.75,11,6
0.62,0.068,38,0.82,9.5,6
0.6,0.09,44,0.58,10.5,5
0.55,0.062,51,0.76,11.2,6
0.51,0.076,40,0.75,11,6
0.645,0.075,44,0.71,10.2,5
0.31,0.067,42,0.66,11,6
